1965 MHz, 9501 MHz, 63, 342.08 W, 100 %
1935 MHz, 9501 MHz, 63, 341.10 W, 100 %
1920 MHz, 9501 MHz, 64, 343.08 W, 100 %
1905 MHz, 9501 MHz, 63, 342.22 W, 100 %
1980 MHz, 9501 MHz, 62, 320.54 W, 100 %
1980 MHz, 9501 MHz, 63, 321.99 W, 100 %
2010 MHz, 9501 MHz, 59, 245.66 W, 52 %
2010 MHz, 9501 MHz, 59, 267.19 W, 65 %
2010 MHz, 9501 MHz, 56, 220.51 W, 100 %
2010 MHz, 9501 MHz, 55, 183.15 W, 100 %
2010 MHz, 9501 MHz, 55, 179.39 W, 100 %
2025 MHz, 9501 MHz, 58, 234.45 W, 91 %
2025 MHz, 9501 MHz, 59, 291.47 W, 82 %
2025 MHz, 9501 MHz, 58, 299.00 W, 82 %
